date,open,high,low,close,volume,rsi,Signal
2023-10-17T00:00:00+05:30,203.55,209.0,202.6,207.15,19378328,73.53,Sell
2023-10-18T00:00:00+05:30,208.45,208.45,204.0,206.5,14923328,70.88,Sell
2023-10-19T00:00:00+05:30,204.0,207.4,202.2,205.8,13192888,68.03,Hold
2023-10-20T00:00:00+05:30,205.2,205.2,200.9,202.85,22081120,57.54,Hold
2023-10-23T00:00:00+05:30,202.0,205.15,199.0,199.75,6988219,48.99,Hold
2023-10-25T00:00:00+05:30,199.0,200.45,197.8,199.5,16817158,48.37,Hold
2023-10-26T00:00:00+05:30,198.75,200.0,196.3,198.95,11070090,46.95,Hold
2023-10-27T00:00:00+05:30,199.25,201.8,199.15,200.95,9995487,52.41,Hold
2023-10-30T00:00:00+05:30,200.95,202.2,197.65,200.85,7679981,52.12,Hold
2023-10-31T00:00:00+05:30,201.5,202.95,200.55,202.15,7474770,55.55,Hold
2023-11-01T00:00:00+05:30,202.35,202.35,200.5,200.95,5598615,51.86,Hold
2023-11-02T00:00:00+05:30,201.75,203.65,200.9,203.1,12924797,57.33,Hold
2023-11-03T00:00:00+05:30,203.4,206.5,203.1,204.4,8684015,60.27,Hold
2023-11-06T00:00:00+05:30,205.0,208.95,204.95,208.2,9804415,67.35,Hold
2023-11-07T00:00:00+05:30,208.2,209.1,205.75,208.0,10730361,66.68,Hold
2023-11-08T00:00:00+05:30,209.0,209.6,206.65,207.0,7435543,63.27,Hold
2023-11-09T00:00:00+05:30,207.3,210.5,206.1,209.8,13777877,68.18,Hold
2023-11-10T00:00:00+05:30,210.5,213.0,209.6,211.15,12066023,70.24,Sell
2023-11-12T00:00:00+05:30,213.6,213.7,211.7,212.0,1008214,71.49,Sell
2023-11-13T00:00:00+05:30,212.0,215.1,210.7,212.3,11352269,71.94,Sell
2023-11-15T00:00:00+05:30,215.0,215.0,209.8,210.15,19182861,64.14,Hold
2023-11-16T00:00:00+05:30,206.7,208.85,205.7,207.2,27533260,55.29,Hold
2023-11-17T00:00:00+05:30,207.7,210.7,206.9,209.5,16705395,59.93,Hold
2023-11-20T00:00:00+05:30,210.1,211.2,208.85,209.3,11156900,59.35,Hold
2023-11-21T00:00:00+05:30,210.0,210.15,207.95,208.95,9608081,58.3,Hold
2023-11-22T00:00:00+05:30,208.2,212.6,208.2,211.6,13079580,63.59,Hold
2023-11-23T00:00:00+05:30,212.05,213.1,209.25,210.9,11382709,61.37,Hold
2023-11-24T00:00:00+05:30,211.3,212.1,209.5,210.45,7250200,59.93,Hold
2023-11-28T00:00:00+05:30,214.45,214.45,209.5,210.2,15629209,59.09,Hold
2023-11-29T00:00:00+05:30,210.3,211.45,209.1,211.05,10062023,61.08,Hold
2023-11-30T00:00:00+05:30,210.4,212.8,208.25,208.95,60354322,54.1,Hold
2023-12-01T00:00:00+05:30,211.5,212.45,209.45,210.2,20719909,57.23,Hold
2023-12-04T00:00:00+05:30,211.7,214.1,211.7,212.9,27914088,63.09,Hold
2023-12-05T00:00:00+05:30,213.7,223.25,211.55,222.3,40709207,75.61,Sell
2023-12-06T00:00:00+05:30,226.0,226.25,222.5,224.4,29544730,77.45,Sell
2023-12-07T00:00:00+05:30,225.0,232.4,224.25,230.0,24534268,81.46,Sell
2023-12-08T00:00:00+05:30,231.8,233.4,226.45,228.6,22206320,77.74,Sell
2023-12-11T00:00:00+05:30,228.0,232.9,226.55,230.95,19106395,79.44,Sell
2023-12-12T00:00:00+05:30,230.0,233.3,229.5,231.35,14355329,79.72,Sell
2023-12-13T00:00:00+05:30,231.0,237.5,230.6,236.95,26878281,83.22,Sell
2023-12-14T00:00:00+05:30,237.25,237.6,231.1,232.1,29972018,71.69,Sell
2023-12-15T00:00:00+05:30,235.0,238.1,227.15,237.35,41341690,75.63,Sell
2023-12-18T00:00:00+05:30,236.9,236.9,231.45,231.85,29051897,65.38,Hold
2023-12-19T00:00:00+05:30,232.15,234.4,230.85,233.55,12612164,66.87,Hold
2023-12-20T00:00:00+05:30,234.95,235.4,226.2,227.15,20400245,56.91,Hold
2023-12-21T00:00:00+05:30,224.45,233.2,222.7,232.35,17755207,61.88,Hold
2023-12-22T00:00:00+05:30,233.0,234.2,230.5,231.75,9735375,61.0,Hold
2023-12-26T00:00:00+05:30,232.0,235.8,231.05,233.35,6772092,62.52,Hold
2023-12-27T00:00:00+05:30,235.0,235.85,232.5,234.05,10231881,63.2,Hold
2023-12-28T00:00:00+05:30,235.1,239.95,234.1,239.1,39164340,67.72,Hold
2023-12-29T00:00:00+05:30,237.8,238.25,234.75,237.2,12665999,64.51,Hold
2024-01-01T00:00:00+05:30,237.9,239.5,236.4,238.25,5952776,65.49,Hold
2024-01-02T00:00:00+05:30,240.0,240.1,236.15,237.85,9128513,64.76,Hold
2024-01-03T00:00:00+05:30,236.0,238.7,234.6,237.05,8284439,63.24,Hold
2024-01-04T00:00:00+05:30,238.0,243.1,237.05,241.45,19663959,67.72,Hold
2024-01-05T00:00:00+05:30,242.0,245.0,239.3,241.25,16345257,67.32,Hold
2024-01-08T00:00:00+05:30,242.4,245.25,240.4,242.35,13585746,68.43,Hold
2024-01-09T00:00:00+05:30,242.6,244.65,241.5,242.3,8688409,68.31,Hold
2024-01-10T00:00:00+05:30,241.0,242.1,238.0,239.15,16872195,61.4,Hold
2024-01-11T00:00:00+05:30,240.25,243.1,239.2,241.95,18812468,64.81,Hold
2024-01-12T00:00:00+05:30,242.5,242.65,238.8,239.5,11296498,59.83,Hold
2024-01-15T00:00:00+05:30,240.4,241.5,237.0,241.15,12597366,61.95,Hold
2024-01-16T00:00:00+05:30,241.65,242.4,237.7,239.05,7478450,57.78,Hold
2024-01-17T00:00:00+05:30,238.5,241.2,237.7,239.2,13620300,57.99,Hold
2024-01-18T00:00:00+05:30,227.25,235.7,226.05,233.45,25522629,47.81,Hold
2024-01-19T00:00:00+05:30,235.0,236.95,232.4,235.4,20931080,50.96,Hold
2024-01-20T00:00:00+05:30,238.0,240.8,236.5,237.2,6491870,53.73,Hold
2024-01-23T00:00:00+05:30,241.0,246.8,236.25,237.95,27492163,54.87,Hold
2024-01-24T00:00:00+05:30,236.15,247.0,235.0,246.2,28309825,65.1,Hold
2024-01-25T00:00:00+05:30,244.75,248.7,243.1,245.5,20651484,63.78,Hold
2024-01-29T00:00:00+05:30,245.45,255.0,245.15,253.95,26181011,71.34,Sell
2024-01-30T00:00:00+05:30,254.0,256.95,251.5,254.1,16031367,71.45,Sell
2024-01-31T00:00:00+05:30,254.0,260.0,252.4,259.3,34369455,75.14,Sell
2024-02-01T00:00:00+05:30,259.0,270.95,258.3,265.8,29929092,78.82,Sell
2024-02-02T00:00:00+05:30,264.5,281.4,263.95,277.1,33900724,83.42,Sell
2024-02-05T00:00:00+05:30,277.5,289.4,274.9,282.9,27440927,85.2,Sell
2024-02-06T00:00:00+05:30,282.9,282.9,272.3,274.25,29668277,72.69,Sell
2024-02-07T00:00:00+05:30,272.1,274.4,266.8,267.95,27335466,65.18,Hold
2024-02-08T00:00:00+05:30,270.8,288.05,270.8,276.2,69776717,69.61,Hold
2024-02-09T00:00:00+05:30,278.6,279.45,269.1,273.0,24496638,66.1,Hold
2024-02-12T00:00:00+05:30,273.2,276.0,266.25,270.3,19140023,63.2,Hold
2024-02-13T00:00:00+05:30,270.3,270.85,264.25,270.25,22031847,63.15,Hold
2024-02-14T00:00:00+05:30,269.5,275.0,267.0,273.65,13546941,65.36,Hold
2024-02-15T00:00:00+05:30,272.0,283.35,271.35,281.65,25475670,69.94,Hold
2024-02-16T00:00:00+05:30,282.0,282.9,273.3,274.55,25129188,62.1,Hold
2024-02-19T00:00:00+05:30,275.1,278.3,273.3,276.35,11429901,63.22,Hold
2024-02-20T00:00:00+05:30,278.35,288.75,277.7,287.9,43053543,69.49,Hold
2024-02-21T00:00:00+05:30,287.55,289.45,279.25,280.1,24651085,61.83,Hold
2024-02-22T00:00:00+05:30,280.1,283.5,273.25,282.6,26793590,63.23,Hold
2024-02-23T00:00:00+05:30,282.55,285.2,279.0,281.95,14313526,62.58,Hold
2024-02-26T00:00:00+05:30,282.95,291.5,282.05,287.8,31012494,65.94,Hold
2024-02-27T00:00:00+05:30,284.1,293.4,284.1,292.5,36510093,68.39,Hold
2024-02-28T00:00:00+05:30,291.5,293.65,278.4,279.55,18824161,56.35,Hold
2024-02-29T00:00:00+05:30,279.6,285.0,274.4,282.85,35043015,58.37,Hold
2024-03-01T00:00:00+05:30,285.0,289.4,284.6,287.7,15149735,61.19,Hold
2024-03-02T00:00:00+05:30,289.0,289.8,286.2,286.85,494394,60.42,Hold
2024-03-04T00:00:00+05:30,288.0,297.0,288.0,294.65,23131460,64.82,Hold
2024-03-05T00:00:00+05:30,292.05,295.45,289.75,295.0,13220556,65.01,Hold
2024-03-06T00:00:00+05:30,290.3,294.9,286.5,293.7,15969436,63.65,Hold
2024-03-07T00:00:00+05:30,294.0,298.9,291.0,292.65,14908694,62.51,Hold
2024-03-11T00:00:00+05:30,288.4,291.95,284.4,285.55,19020659,55.31,Hold
2024-03-12T00:00:00+05:30,284.9,288.65,282.75,285.15,17906155,54.92,Hold
2024-03-13T00:00:00+05:30,283.3,283.9,261.8,264.3,39389523,39.52,Hold
2024-03-14T00:00:00+05:30,264.05,268.4,260.7,266.35,26005940,41.26,Hold
2024-03-15T00:00:00+05:30,268.1,272.0,257.65,265.95,43817794,41.02,Hold
2024-03-18T00:00:00+05:30,265.95,266.65,259.5,264.9,12423655,40.33,Hold
2024-03-19T00:00:00+05:30,262.15,266.5,258.3,259.0,20031514,36.62,Hold
2024-03-20T00:00:00+05:30,259.95,265.15,258.95,264.65,11308487,42.11,Hold
2024-03-21T00:00:00+05:30,267.8,274.5,267.1,273.75,23559105,49.68,Hold
2024-03-22T00:00:00+05:30,273.75,278.25,271.35,275.75,22097588,51.18,Hold
2024-03-26T00:00:00+05:30,270.1,274.1,266.1,270.05,28477120,46.87,Hold
2024-03-27T00:00:00+05:30,271.0,272.8,269.2,270.25,18094214,47.04,Hold
2024-03-28T00:00:00+05:30,272.0,279.5,271.65,276.9,26646830,52.45,Hold
2024-04-01T00:00:00+05:30,280.75,281.6,277.65,280.15,8945400,54.87,Hold
2024-04-02T00:00:00+05:30,279.25,281.7,278.5,279.55,13229425,54.32,Hold
2024-04-03T00:00:00+05:30,280.15,283.1,278.55,280.1,14499308,54.77,Hold
2024-04-04T00:00:00+05:30,282.8,286.7,275.05,277.65,23722104,52.31,Hold
2024-04-05T00:00:00+05:30,279.95,279.95,275.15,278.4,9308711,53.0,Hold
2024-04-08T00:00:00+05:30,280.55,284.2,279.05,281.75,14473340,56.09,Hold
2024-04-09T00:00:00+05:30,282.85,284.35,281.0,281.2,5780865,55.44,Hold
2024-04-10T00:00:00+05:30,280.0,285.35,280.0,282.55,8809693,56.76,Hold
2024-04-12T00:00:00+05:30,281.5,284.45,274.65,275.25,17731780,48.45,Hold
2024-04-15T00:00:00+05:30,270.25,276.2,268.4,274.05,13378690,47.23,Hold
2024-04-16T00:00:00+05:30,273.0,275.55,271.25,274.25,9662195,47.47,Hold
2024-04-18T00:00:00+05:30,287.9,289.9,277.7,280.1,51039603,54.0,Hold
2024-04-19T00:00:00+05:30,278.1,282.25,274.7,281.65,18755469,55.58,Hold
2024-04-22T00:00:00+05:30,284.0,284.7,281.7,283.65,14965203,57.6,Hold
2024-04-23T00:00:00+05:30,283.65,287.15,280.7,285.35,11464036,59.29,Hold
2024-04-24T00:00:00+05:30,285.0,291.85,284.4,290.4,19324163,63.91,Hold
2024-04-25T00:00:00+05:30,292.0,294.5,289.25,293.3,22022414,66.27,Hold
2024-04-26T00:00:00+05:30,294.25,296.15,291.45,292.25,15581578,64.62,Hold
2024-04-29T00:00:00+05:30,292.3,294.6,289.6,293.7,9804396,65.89,Hold
2024-04-30T00:00:00+05:30,293.7,304.35,293.05,301.85,33288857,71.95,Sell
2024-05-02T00:00:00+05:30,301.95,317.25,301.85,313.6,44059506,78.02,Sell
2024-05-03T00:00:00+05:30,312.0,316.1,308.25,310.85,27074447,73.98,Sell
2024-05-06T00:00:00+05:30,310.2,310.8,303.1,306.85,16855909,68.44,Hold
2024-05-07T00:00:00+05:30,307.0,308.3,294.5,295.25,13857464,55.46,Hold
2024-05-08T00:00:00+05:30,292.0,302.85,292.0,302.0,18754452,60.19,Hold
2024-05-09T00:00:00+05:30,302.75,304.35,295.25,296.15,11196567,54.77,Hold
2024-05-10T00:00:00+05:30,296.25,304.45,296.25,303.75,11786977,59.83,Hold
2024-05-13T00:00:00+05:30,304.2,307.65,297.6,306.55,11710605,61.54,Hold
2024-05-14T00:00:00+05:30,308.0,313.0,307.75,309.25,9957875,63.17,Hold
2024-05-15T00:00:00+05:30,310.0,316.3,308.85,314.85,11397656,66.35,Hold
2024-05-16T00:00:00+05:30,314.5,315.6,305.3,312.5,19843532,63.86,Hold
2024-05-17T00:00:00+05:30,314.9,316.0,310.75,313.15,9069551,64.26,Hold
2024-05-18T00:00:00+05:30,315.85,318.25,315.0,316.9,1503108,66.56,Hold
2024-05-21T00:00:00+05:30,311.0,327.45,311.0,325.65,21976662,71.21,Sell
2024-05-22T00:00:00+05:30,327.75,327.75,320.2,325.75,10287081,71.26,Sell
2024-05-23T00:00:00+05:30,319.45,320.7,309.0,319.9,35705284,64.33,Hold
2024-05-24T00:00:00+05:30,318.0,322.95,317.4,318.8,15058182,63.09,Hold
2024-05-27T00:00:00+05:30,321.5,321.5,314.5,317.95,12857918,62.09,Hold
2024-05-28T00:00:00+05:30,319.0,319.5,312.0,312.8,10935739,56.28,Hold
2024-05-29T00:00:00+05:30,309.1,318.7,309.1,317.7,16812268,60.11,Hold
2024-05-30T00:00:00+05:30,314.6,317.65,303.8,306.7,22768893,49.62,Hold
2024-05-31T00:00:00+05:30,308.55,311.5,305.7,310.0,36929443,52.3,Hold
2024-06-03T00:00:00+05:30,335.0,348.7,325.6,337.65,55218939,67.81,Hold
2024-06-04T00:00:00+05:30,334.95,334.95,279.75,295.95,73262478,44.38,Hold
2024-06-05T00:00:00+05:30,296.3,301.05,279.2,298.8,45312613,45.76,Hold
2024-06-06T00:00:00+05:30,303.4,311.45,298.1,300.45,36508044,46.58,Hold
2024-06-07T00:00:00+05:30,298.05,310.65,296.8,309.35,38016104,50.93,Hold
2024-06-10T00:00:00+05:30,313.0,323.35,311.6,315.8,25478964,53.85,Hold
2024-06-11T00:00:00+05:30,316.2,319.7,315.15,316.55,12238518,54.19,Hold
2024-06-12T00:00:00+05:30,319.9,327.1,316.9,324.65,20346144,57.83,Hold
2024-06-13T00:00:00+05:30,327.0,327.95,320.65,321.45,11756503,55.94,Hold
2024-06-14T00:00:00+05:30,326.0,326.0,319.35,321.5,14159988,55.97,Hold
2024-06-18T00:00:00+05:30,322.0,332.5,322.0,331.8,21653702,60.75,Hold
2024-06-19T00:00:00+05:30,334.0,334.85,325.4,327.3,14235150,57.8,Hold
2024-06-20T00:00:00+05:30,327.5,328.3,322.3,324.55,11749507,56.0,Hold
2024-06-21T00:00:00+05:30,326.7,329.6,323.0,325.95,17209541,56.74,Hold
2024-06-24T00:00:00+05:30,323.1,334.0,322.55,332.95,18044357,60.31,Hold
2024-06-25T00:00:00+05:30,335.0,335.0,325.8,327.4,13979671,56.34,Hold
2024-06-26T00:00:00+05:30,325.7,330.2,324.95,326.7,12946277,55.84,Hold
2024-06-27T00:00:00+05:30,328.55,332.5,324.35,331.55,27061015,58.58,Hold
